period,respondent,respondent-name,fueltype,type-name,value,value-units
2019-12-31T10,ISNE,ISO New England,WND,Wind,663,megawatthours
2019-12-31T10,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,14607,megawatthours
2019-12-31T10,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,16263,megawatthours
2019-12-31T10,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13354,megawatthours
2019-12-31T10,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,465,megawatthours
2019-12-31T10,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T10,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,945,megawatthours
2019-12-31T10,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,15339,megawatthours
2019-12-31T09,ISNE,ISO New England,COL,Coal,5,megawatthours
2019-12-31T09,ISNE,ISO New England,NG,Natural Gas,2465,megawatthours
2019-12-31T09,ISNE,ISO New England,NUC,Nuclear,3347,megawatthours
2019-12-31T09,ISNE,ISO New England,OIL,Petroleum,211,megawatthours
2019-12-31T09,ISNE,ISO New England,OTH,Other,698,megawatthours
2019-12-31T09,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T09,ISNE,ISO New England,WAT,Hydro,738,megawatthours
2019-12-31T09,ISNE,ISO New England,WND,Wind,679,megawatthours
2019-12-31T09,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,14817,megawatthours
2019-12-31T09,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,16281,megawatthours
2019-12-31T09,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13356,megawatthours
2019-12-31T09,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,457,megawatthours
2019-12-31T09,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T09,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,980,megawatthours
2019-12-31T09,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,15286,megawatthours
2019-12-31T08,ISNE,ISO New England,COL,Coal,3,megawatthours
2019-12-31T08,ISNE,ISO New England,NG,Natural Gas,2414,megawatthours
2019-12-31T08,ISNE,ISO New England,NUC,Nuclear,3325,megawatthours
2019-12-31T08,ISNE,ISO New England,OIL,Petroleum,109,megawatthours
2019-12-31T08,ISNE,ISO New England,OTH,Other,713,megawatthours
2019-12-31T08,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T08,ISNE,ISO New England,WAT,Hydro,741,megawatthours
2019-12-31T08,ISNE,ISO New England,WND,Wind,658,megawatthours
2019-12-31T08,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,15073,megawatthours
2019-12-31T08,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,16359,megawatthours
2019-12-31T08,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13356,megawatthours
2019-12-31T08,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,456,megawatthours
2019-12-31T08,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T08,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,993,megawatthours
2019-12-31T08,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,15442,megawatthours
2019-12-31T07,ISNE,ISO New England,COL,Coal,3,megawatthours
2019-12-31T07,ISNE,ISO New England,NG,Natural Gas,2871,megawatthours
2019-12-31T07,ISNE,ISO New England,NUC,Nuclear,3316,megawatthours
2019-12-31T07,ISNE,ISO New England,OIL,Petroleum,68,megawatthours
2019-12-31T07,ISNE,ISO New England,OTH,Other,712,megawatthours
2019-12-31T07,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T07,ISNE,ISO New England,WAT,Hydro,748,megawatthours
2019-12-31T07,ISNE,ISO New England,WND,Wind,626,megawatthours
