period,subba,subba-name,parent,parent-name,timezone,value,value-units
2019-12-14,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,255031,megawatthours
2019-12-13,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,69530,megawatthours
2019-12-13,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,69745,megawatthours
2019-12-13,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,69943,megawatthours
2019-12-13,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,69530,megawatthours
2019-12-13,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,69299,megawatthours
2019-12-13,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,263785,megawatthours
2019-12-13,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,263999,megawatthours
2019-12-13,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,264170,megawatthours
2019-12-13,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,263785,megawatthours
2019-12-13,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,263581,megawatthours
2019-12-12,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,71721,megawatthours
2019-12-12,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,71680,megawatthours
2019-12-12,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,71621,megawatthours
2019-12-12,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,71721,megawatthours
2019-12-12,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,71751,megawatthours
2019-12-12,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,336826,megawatthours
2019-12-12,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,337899,megawatthours
2019-12-12,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,338963,megawatthours
2019-12-12,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,336826,megawatthours
2019-12-12,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,335776,megawatthours
2019-12-11,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,69339,megawatthours
2019-12-11,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,69065,megawatthours
2019-12-11,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,68796,megawatthours
2019-12-11,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,69339,megawatthours
2019-12-11,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,69591,megawatthours
2019-12-11,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,295006,megawatthours
2019-12-11,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,295048,megawatthours
2019-12-11,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,295058,megawatthours
2019-12-11,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,295006,megawatthours
2019-12-11,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,294898,megawatthours
2019-12-10,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,63378,megawatthours
2019-12-10,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,63333,megawatthours
2019-12-10,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,63311,megawatthours
2019-12-10,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,63378,megawatthours
2019-12-10,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,63462,megawatthours
2019-12-10,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,290510,megawatthours
2019-12-10,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,289700,megawatthours
2019-12-10,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,288873,megawatthours
2019-12-10,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,290510,megawatthours
2019-12-10,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,291248,megawatthours
2019-12-09,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,67119,megawatthours
2019-12-09,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,67328,megawatthours
2019-12-09,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,67524,megawatthours
2019-12-09,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,67119,megawatthours
2019-12-09,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,66902,megawatthours
2019-12-09,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,263588,megawatthours
2019-12-09,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,262077,megawatthours
2019-12-09,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,260530,megawatthours
2019-12-09,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,263588,megawatthours
2019-12-09,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,265096,megawatthours
2019-12-08,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,66899,megawatthours
2019-12-08,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,67109,megawatthours
2019-12-08,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,67312,megawatthours
2019-12-08,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,66899,megawatthours
2019-12-08,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,66683,megawatthours
2019-12-08,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,234641,megawatthours
2019-12-08,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,235522,megawatthours
2019-12-08,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,236441,megawatthours
