period,respondent,respondent-name,fueltype,type-name,value,value-units,date,city,electricity_demand_mw
2019-12-31T11,PJM,"PJM Interconnection, LLC",OTH,Other,634,megawatthours,2019-12-31,Chicago,634
2019-12-31T11,PJM,"PJM Interconnection, LLC",SUN,Solar,0,megawatthours,2019-12-31,Chicago,0
2019-12-31T11,PJM,"PJM Interconnection, LLC",WAT,Hydro,1584,megawatthours,2019-12-31,Chicago,1584
2019-12-31T11,PJM,"PJM Interconnection, LLC",WND,Wind,2619,megawatthours,2019-12-31,Chicago,2619
2019-12-31T10,ISNE,ISO New England,COL,Coal,6,megawatthours,2019-12-31,Boston,6
2019-12-31T10,ISNE,ISO New England,NG,Natural Gas,2713,megawatthours,2019-12-31,Boston,2713
2019-12-31T10,ISNE,ISO New England,NUC,Nuclear,3320,megawatthours,2019-12-31,Boston,3320
2019-12-31T10,ISNE,ISO New England,OIL,Petroleum,287,megawatthours,2019-12-31,Boston,287
2019-12-31T10,ISNE,ISO New England,OTH,Other,683,megawatthours,2019-12-31,Boston,683
2019-12-31T10,ISNE,ISO New England,SUN,Solar,0,megawatthours,2019-12-31,Boston,0
2019-12-31T10,ISNE,ISO New England,WAT,Hydro,724,megawatthours,2019-12-31,Boston,724
2019-12-31T10,ISNE,ISO New England,WND,Wind,663,megawatthours,2019-12-31,Boston,663
2019-12-31T10,PJM,"PJM Interconnection, LLC",COL,Coal,10393,megawatthours,2019-12-31,Chicago,10393
2019-12-31T10,PJM,"PJM Interconnection, LLC",NG,Natural Gas,27003,megawatthours,2019-12-31,Chicago,27003
2019-12-31T10,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28697,megawatthours,2019-12-31,Chicago,28697
2019-12-31T10,PJM,"PJM Interconnection, LLC",OIL,Petroleum,224,megawatthours,2019-12-31,Chicago,224
2019-12-31T10,PJM,"PJM Interconnection, LLC",OTH,Other,625,megawatthours,2019-12-31,Chicago,625
2019-12-31T10,PJM,"PJM Interconnection, LLC",SUN,Solar,0,megawatthours,2019-12-31,Chicago,0
2019-12-31T10,PJM,"PJM Interconnection, LLC",WAT,Hydro,932,megawatthours,2019-12-31,Chicago,932
2019-12-31T10,PJM,"PJM Interconnection, LLC",WND,Wind,2466,megawatthours,2019-12-31,Chicago,2466
2019-12-31T09,ISNE,ISO New England,COL,Coal,5,megawatthours,2019-12-31,Boston,5
2019-12-31T09,ISNE,ISO New England,NG,Natural Gas,2465,megawatthours,2019-12-31,Boston,2465
2019-12-31T09,ISNE,ISO New England,NUC,Nuclear,3347,megawatthours,2019-12-31,Boston,3347
2019-12-31T09,ISNE,ISO New England,OIL,Petroleum,211,megawatthours,2019-12-31,Boston,211
2019-12-31T09,ISNE,ISO New England,OTH,Other,698,megawatthours,2019-12-31,Boston,698
2019-12-31T09,ISNE,ISO New England,SUN,Solar,0,megawatthours,2019-12-31,Boston,0
2019-12-31T09,ISNE,ISO New England,WAT,Hydro,738,megawatthours,2019-12-31,Boston,738
2019-12-31T09,ISNE,ISO New England,WND,Wind,679,megawatthours,2019-12-31,Boston,679
