date,respondent,type-name,daily_mwh
2019-05-20,PJM,Petroleum,5218
2019-05-20,PJM,Solar,9413
2019-05-20,PJM,Wind,87504
2019-05-21,ISNE,Coal,25
2019-05-21,ISNE,Hydro,32151
2019-05-21,ISNE,Natural Gas,86329
2019-05-21,ISNE,Nuclear,80595
2019-05-21,ISNE,Other,13594
2019-05-21,ISNE,Petroleum,0
2019-05-21,ISNE,Solar,712
2019-05-21,ISNE,Wind,17971
2019-05-21,PJM,Coal,422258
2019-05-21,PJM,Hydro,46646
2019-05-21,PJM,Natural Gas,660761
2019-05-21,PJM,Nuclear,799287
2019-05-21,PJM,Other,15061
2019-05-21,PJM,Petroleum,5150
2019-05-21,PJM,Solar,10734
2019-05-21,PJM,Wind,104673
2019-05-22,ISNE,Coal,29
2019-05-22,ISNE,Hydro,33264
2019-05-22,ISNE,Natural Gas,71976
2019-05-22,ISNE,Nuclear,85632
2019-05-22,ISNE,Other,13534
2019-05-22,ISNE,Petroleum,25
2019-05-22,ISNE,Solar,984
2019-05-22,ISNE,Wind,10606
2019-05-22,PJM,Coal,453629
2019-05-22,PJM,Hydro,51767
2019-05-22,PJM,Natural Gas,680258
2019-05-22,PJM,Nuclear,787625
2019-05-22,PJM,Other,16664
2019-05-22,PJM,Petroleum,5287
2019-05-22,PJM,Solar,10344
2019-05-22,PJM,Wind,103774
2019-05-23,ISNE,Coal,56
2019-05-23,ISNE,Hydro,29868
2019-05-23,ISNE,Natural Gas,88590
2019-05-23,ISNE,Nuclear,85590
2019-05-23,ISNE,Other,14307
2019-05-23,ISNE,Petroleum,1
2019-05-23,ISNE,Solar,583
2019-05-23,ISNE,Wind,4739
2019-05-23,PJM,Coal,496340
2019-05-23,PJM,Hydro,63265
2019-05-23,PJM,Natural Gas,747942
2019-05-23,PJM,Nuclear,796242
2019-05-23,PJM,Other,19507
2019-05-23,PJM,Petroleum,5171
2019-05-23,PJM,Solar,7869
2019-05-23,PJM,Wind,89341
2019-05-24,ISNE,Coal,54
2019-05-24,ISNE,Hydro,29218
2019-05-24,ISNE,Natural Gas,81318
2019-05-24,ISNE,Nuclear,85649
2019-05-24,ISNE,Other,15499
2019-05-24,ISNE,Petroleum,14
2019-05-24,ISNE,Solar,713
2019-05-24,ISNE,Wind,11860
2019-05-24,PJM,Coal,491658
2019-05-24,PJM,Hydro,53495
2019-05-24,PJM,Natural Gas,773885
2019-05-24,PJM,Nuclear,796074
2019-05-24,PJM,Other,25155
2019-05-24,PJM,Petroleum,8928
2019-05-24,PJM,Solar,10579
2019-05-24,PJM,Wind,66548
2019-05-25,ISNE,Coal,5
2019-05-25,ISNE,Hydro,28786
2019-05-25,ISNE,Natural Gas,68775
2019-05-25,ISNE,Nuclear,85560
2019-05-25,ISNE,Other,15350
2019-05-25,ISNE,Petroleum,0
2019-05-25,ISNE,Solar,1060
2019-05-25,ISNE,Wind,6691
2019-05-25,PJM,Coal,450589
2019-05-25,PJM,Hydro,48758
2019-05-25,PJM,Natural Gas,643296
2019-05-25,PJM,Nuclear,795190
2019-05-25,PJM,Other,28651
2019-05-25,PJM,Petroleum,5016
2019-05-25,PJM,Solar,9970
2019-05-25,PJM,Wind,93859
2019-05-26,ISNE,Coal,0
2019-05-26,ISNE,Hydro,28333
2019-05-26,ISNE,Natural Gas,85775
2019-05-26,ISNE,Nuclear,85498
2019-05-26,ISNE,Other,15107
2019-05-26,ISNE,Petroleum,0
2019-05-26,ISNE,Solar,895
2019-05-26,ISNE,Wind,9200
2019-05-26,PJM,Coal,459039
2019-05-26,PJM,Hydro,50609
2019-05-26,PJM,Natural Gas,706064
2019-05-26,PJM,Nuclear,777666
2019-05-26,PJM,Other,22851
2019-05-26,PJM,Petroleum,5094
2019-05-26,PJM,Solar,9438
2019-05-26,PJM,Wind,46294
2019-05-27,ISNE,Coal,0
2019-05-27,ISNE,Hydro,29361
2019-05-27,ISNE,Natural Gas,86489
